,Date,Price,%Chg
0,2014-01-31,29386.5,nan
1,2014-02-28,30184.45,2.72
2,2014-03-31,30100.190476190477,-0.28
3,2014-04-30,29199.521739130436,-2.99
4,2014-05-31,28373.636363636364,-2.83
5,2014-06-30,27367.761904761905,-3.55
6,2014-07-31,27957.59259259259,2.16
7,2014-08-31,28149.666666666668,0.69
8,2014-09-30,26964.625,-4.21
9,2014-10-31,26853.31818181818,-0.41
10,2014-11-30,26104.0,-2.79
11,2014-12-31,26702.636363636364,2.29
12,2015-01-31,27440.91304347826,2.76
13,2015-02-28,26723.636363636364,-2.61
14,2015-03-31,26143.08695652174,-2.17
15,2015-04-30,26697.380952380954,2.12
16,2015-05-31,27075.571428571428,1.42
17,2015-06-30,26670.636363636364,-1.50
18,2015-07-31,25498.782608695652,-4.39
19,2015-08-31,25817.95238095238,1.25
20,2015-09-30,26318.0,1.94
21,2015-10-31,26659.761904761905,1.30
22,2015-11-30,25421.04761904762,-4.65
23,2015-12-31,25191.863636363636,-0.90
24,2016-01-31,26016.65,3.27
25,2016-02-29,28635.190476190477,10.06
26,2016-03-31,29102.136363636364,1.63
27,2016-04-30,29031.761904761905,-0.24
28,2016-05-31,29635.772727272728,2.08
29,2016-06-30,30043.045454545456,1.37
30,2016-07-31,31102.47619047619,3.53
31,2016-08-31,31139.81818181818,0.12
32,2016-09-30,31091.545454545456,-0.16
33,2016-10-31,29896.18181818182,-3.84
34,2016-11-30,29519.136363636364,-1.26
35,2016-12-31,27630.909090909092,-6.40
36,2017-01-31,28495.428571428572,3.13
37,2017-02-28,29281.9,2.76
38,2017-03-31,28713.608695652172,-1.94
39,2017-04-30,29019.473684210527,1.07
40,2017-05-31,28458.304347826088,-1.93
41,2017-06-30,28752.0,1.03
42,2017-07-31,28197.666666666668,-1.93
43,2017-08-31,28981.68181818182,2.78
44,2017-09-30,29879.571428571428,3.10
45,2017-10-31,29507.904761904763,-1.24
46,2017-11-30,29411.31818181818,-0.33
47,2017-12-31,28760.55,-2.21
48,2018-01-31,29686.409090909092,3.22
49,2018-02-28,30386.25,2.36
50,2018-03-31,30466.571428571428,0.26
51,2018-04-30,31037.571428571428,1.87
52,2018-05-31,31146.695652173912,0.35
53,2018-06-30,30723.714285714286,-1.36
54,2018-07-31,30111.0,-1.99
55,2018-08-31,29682.727272727272,-1.42
56,2018-09-30,30579.45,3.02
57,2018-10-31,31533.31818181818,3.12
58,2018-11-30,30956.68181818182,-1.83
59,2018-12-31,31340.5,1.24
60,2019-01-31,32144.391304347828,2.57
61,2019-02-28,33226.5,3.37
62,2019-03-31,32002.666666666668,-3.68
63,2019-04-30,31679.65,-1.01
64,2019-05-31,31756.391304347828,0.24
65,2019-06-30,33200.95,4.55
66,2019-07-31,34638.52173913043,4.33
67,2019-08-31,37579.52380952381,8.49
68,2019-09-30,38076.333333333336,1.32
69,2019-10-31,38151.82608695652,0.20
70,2019-11-30,38026.28571428572,-0.33
71,2019-12-31,38132.52380952381,0.28
72,2020-01-31,40015.34782608696,4.94
73,2020-02-29,41237.619047619046,3.05
74,2020-03-31,42290.454545454544,2.55
75,2020-04-30,45673.0,8.00
76,2020-05-31,46328.95238095238,1.44
77,2020-06-30,47357.681818181816,2.22
78,2020-07-31,49998.34782608696,5.58
79,2020-08-31,52946.380952380954,5.90
80,2020-09-30,50904.77272727273,-3.86
81,2020-10-31,50684.76190476191,-0.43
82,2020-11-30,50203.86363636364,-0.95
83,2020-12-31,49586.0,-1.23
84,2021-01-31,49550.85,-0.07
85,2021-02-28,46955.6,-5.24
86,2021-03-31,44687.260869565216,-4.83
87,2021-04-30,46591.95238095238,4.26
88,2021-05-31,47998.619047619046,3.02
89,2021-06-30,47809.0,-0.40
90,2021-07-31,47758.22727272727,-0.11
91,2021-08-31,47101.90909090909,-1.37
92,2021-09-30,46615.09090909091,-1.03
93,2021-10-31,47238.76190476191,1.34
94,2021-11-30,48178.5,1.99
95,2021-12-31,47902.30434782609,-0.57
96,2022-01-31,47918.75,0.03
97,2022-02-28,49317.85,2.92
98,2022-03-31,51889.04347826087,5.21
99,2022-04-30,51993.55,0.20
100,2022-05-31,50781.63636363636,-2.33
101,2022-06-30,50825.40909090909,0.09
102,2022-07-31,50850.0,0.05
103,2022-08-31,51573.40909090909,1.42
104,2022-09-30,49917.13636363636,-3.21
105,2022-10-31,50550.57142857143,1.27
106,2022-11-30,51867.59090909091,2.61
107,2022-12-31,54041.22727272727,4.19
108,2023-01-31,56128.23809523809,3.86
109,2023-02-28,56499.6,0.66
110,2023-03-31,57646.17391304348,2.03
111,2023-04-30,60157.05263157895,4.36
112,2023-05-31,60431.391304347824,0.46
113,2023-06-30,58974.90909090909,-2.41
114,2023-07-31,58999.19047619047,0.04
115,2023-08-31,58673.318181818184,-0.55
116,2023-09-30,58731.28571428572,0.10
117,2023-10-31,58912.619047619046,0.31
118,2023-11-30,60834.913043478264,3.26
119,2023-12-31,62226.8,2.29
120,2024-01-31,62249.045454545456,0.04
121,2024-02-29,61941.142857142855,-0.49
122,2024-03-31,65430.5,5.63
123,2024-04-30,71363.72727272728,9.07
124,2024-05-31,72115.91304347826,1.05
125,2024-06-30,71586.3,-0.73
126,2024-07-31,71475.91304347826,-0.15
127,2024-08-31,70412.66666666667,-1.49
128,2024-09-30,73038.85714285714,3.73
129,2024-10-31,76716.27272727272,5.03
130,2024-11-30,76168.90476190476,-0.71
131,2024-12-31,76283.42857142857,0.15
132,2025-01-31,76756.25,0.62
