"Index Name","Date","Open","High","Low","Close"
"NIFTY 500","30 Jun 2025","23672.35","23677.55","23563","23617.20"
"NIFTY 500","27 Jun 2025","23566.7","23644.35","23538.55","23620.15"
"NIFTY 500","26 Jun 2025","23341.2","23529.65","23319.85","23517.55"
"NIFTY 500","25 Jun 2025","23216.15","23303.65","23190.85","23296.85"
"NIFTY 500","24 Jun 2025","23212.3","23307.95","23074.25","23113.20"
"NIFTY 500","23 Jun 2025","22880.35","23063.35","22837.8","23001.50"
"NIFTY 500","20 Jun 2025","22760.65","23064.7","22760.6","23041.10"
"NIFTY 500","19 Jun 2025","22921.6","22973.15","22712.55","22763.50"
"NIFTY 500","18 Jun 2025","22937.75","23066.85","22868.35","22925.20"
"NIFTY 500","17 Jun 2025","23126.8","23128.5","22959.15","22981.50"
"NIFTY 500","16 Jun 2025","22914.85","23106.7","22789.4","23095.05"
"NIFTY 500","13 Jun 2025","22631.7","22932.25","22631.7","22906.20"
"NIFTY 500","12 Jun 2025","23363.5","23370.3","23009.65","23046.45"
"NIFTY 500","11 Jun 2025","23376.6","23423.6","23271.4","23337.85"
"NIFTY 500","10 Jun 2025","23422.3","23423.8","23287.35","23339.95"
"NIFTY 500","09 Jun 2025","23308.65","23335.35","23254.55","23330.55"
"NIFTY 500","06 Jun 2025","22962","23180.35","22891.6","23165.10"
"NIFTY 500","05 Jun 2025","22879.2","23026.3","22828.85","22934.50"
"NIFTY 500","04 Jun 2025","22742.2","22823.95","22667.9","22807.85"
"NIFTY 500","03 Jun 2025","22906.2","22946.15","22691.25","22711.30"
"NIFTY 500","02 Jun 2025","22758.6","22863.35","22664.15","22834.50"
"NIFTY 500","30 May 2025","22868.25","22912.3","22759.15","22801.95"
"NIFTY 500","29 May 2025","22859.45","22899.15","22750.15","22861.35"
"NIFTY 500","28 May 2025","22843.25","22871.2","22765.7","22779.40"
"NIFTY 500","27 May 2025","22895.05","22963.1","22721.8","22816.50"
"NIFTY 500","26 May 2025","22852.7","22970.7","22845.4","22908.30"
"NIFTY 500","23 May 2025","22628.75","22813.25","22580.8","22781.05"
"NIFTY 500","22 May 2025","22674","22675.35","22464.45","22595.00"
