,Date,Price,%Chg
0,2015-01-31,6952.942857142856,nan
1,2015-02-28,7127.2525,2.51
2,2015-03-31,7098.161904761904,-0.41
3,2015-04-30,7020.813157894738,-1.09
4,2015-05-31,6844.6875,-2.51
5,2015-06-30,6756.593181818182,-1.29
6,2015-07-31,7034.5847826086965,4.11
7,2015-08-31,6956.1238095238095,-1.12
8,2015-09-30,6530.4225,-6.12
9,2015-10-31,6827.6275,4.55
10,2015-11-30,6627.9552631578945,-2.92
11,2015-12-31,6595.938636363636,-0.48
12,2016-01-31,6366.415,-3.48
13,2016-02-29,6019.159523809524,-5.45
14,2016-03-31,6287.6275000000005,4.46
15,2016-04-30,6526.305555555556,3.80
16,2016-05-31,6605.711363636364,1.22
17,2016-06-30,6853.981818181818,3.76
18,2016-07-31,7184.43,4.82
19,2016-08-31,7352.020454545455,2.33
20,2016-09-30,7503.255,2.06
21,2016-10-31,7506.48947368421,0.04
22,2016-11-30,7091.700000000001,-5.53
23,2016-12-31,6947.943181818182,-2.03
24,2017-01-31,7221.754761904762,3.94
25,2017-02-28,7632.576315789474,5.69
26,2017-03-31,7838.668181818182,2.70
27,2017-04-30,8098.755,3.32
28,2017-05-31,8275.764545454545,2.19
29,2017-06-30,8395.08238095238,1.44
30,2017-07-31,8613.189047619047,2.60
31,2017-08-31,8638.78619047619,0.30
32,2017-09-30,8773.356666666667,1.56
33,2017-10-31,8929.4535,1.78
34,2017-11-30,9173.76818181818,2.74
35,2017-12-31,9247.408,0.80
36,2018-01-31,9661.577727272728,4.48
37,2018-02-28,9284.81105263158,-3.90
38,2018-03-31,9008.832631578947,-2.97
39,2018-04-30,9269.277142857143,2.89
40,2018-05-31,9300.438636363637,0.34
41,2018-06-30,9253.841904761905,-0.50
42,2018-07-31,9339.302272727273,0.92
43,2018-08-31,9796.583333333334,4.90
44,2018-09-30,9578.470555555556,-2.23
45,2018-10-31,8691.946666666667,-9.26
46,2018-11-30,8944.771,2.91
47,2018-12-31,9062.1095,1.31
48,2019-01-31,9070.770869565218,0.10
49,2019-02-28,8945.639500000001,-1.38
50,2019-03-31,9415.411578947369,5.25
51,2019-04-30,9670.054210526316,2.70
52,2019-05-31,9517.311363636363,-1.58
53,2019-06-30,9688.096315789475,1.79
54,2019-07-31,9405.73043478261,-2.91
55,2019-08-31,8926.6105,-5.09
56,2019-09-30,9086.612105263159,1.79
57,2019-10-31,9340.3645,2.79
58,2019-11-30,9725.9195,4.13
59,2019-12-31,9793.515238095239,0.70
60,2020-01-31,9978.076818181818,1.88
61,2020-02-29,9830.0625,-1.48
62,2020-03-31,7737.054761904762,-21.29
63,2020-04-30,7424.077777777778,-4.05
64,2020-05-31,7523.636842105264,1.34
65,2020-06-30,8305.745454545455,10.40
66,2020-07-31,8892.482608695653,7.06
67,2020-08-31,9326.35476190476,4.88
68,2020-09-30,9380.829545454546,0.58
69,2020-10-31,9669.807142857144,3.08
70,2020-11-30,10324.289999999999,6.77
71,2020-12-31,11190.89318181818,8.39
72,2021-01-31,11815.5875,5.58
73,2021-02-28,12373.7825,4.72
74,2021-03-31,12427.159523809523,0.43
75,2021-04-30,12305.078947368422,-0.98
76,2021-05-31,12741.3875,3.55
77,2021-06-30,13457.44090909091,5.62
78,2021-07-31,13606.997619047619,1.11
79,2021-08-31,14044.48095238095,3.22
80,2021-09-30,14939.030952380954,6.37
81,2021-10-31,15413.5875,3.18
82,2021-11-30,15250.970000000001,-1.06
83,2021-12-31,14835.132608695652,-2.73
84,2022-01-31,15297.0625,3.11
85,2022-02-28,14736.0575,-3.67
86,2022-03-31,14395.30238095238,-2.31
87,2022-04-30,15044.142105263158,4.51
88,2022-05-31,13910.926190476192,-7.53
89,2022-06-30,13531.368181818181,-2.73
90,2022-07-31,13955.564285714285,3.13
91,2022-08-31,15084.4325,8.09
92,2022-09-30,15226.070454545454,0.94
93,2022-10-31,15012.323684210527,-1.40
94,2022-11-30,15615.702380952382,4.02
95,2022-12-31,15687.727272727272,0.46
96,2023-01-31,15304.702380952382,-2.44
97,2023-02-28,14873.795000000002,-2.82
98,2023-03-31,14497.478571428572,-2.53
99,2023-04-30,14892.120588235293,2.72
100,2023-05-31,15496.768181818183,4.06
101,2023-06-30,16051.816666666668,3.58
102,2023-07-31,16784.82380952381,4.57
103,2023-08-31,16894.336363636365,0.65
104,2023-09-30,17377.815,2.86
105,2023-10-31,17141.845,-1.36
106,2023-11-30,17420.67380952381,1.63
107,2023-12-31,18897.1025,8.48
108,2024-01-31,19548.825,3.45
109,2024-02-29,20053.054761904765,2.58
110,2024-03-31,20082.813157894736,0.15
111,2024-04-30,20679.235,2.97
112,2024-05-31,20991.58409090909,1.51
113,2024-06-30,21973.89736842105,4.68
114,2024-07-31,23048.070454545454,4.89
115,2024-08-31,23160.82380952381,0.49
116,2024-09-30,23967.02142857143,3.48
117,2024-10-31,23277.66590909091,-2.88
118,2024-11-30,22434.97105263158,-3.62
119,2024-12-31,22904.94761904762,2.09
120,2025-01-31,21729.56086956522,-5.13
121,2025-02-28,21635.766666666666,-0.43
