Date,Price,Change 
2014-01-01,43876.00,0.10
2014-01-02,45348.00,3.35
2014-01-03,45475.00,0.28
2014-01-04,45475.00,0.00
2014-01-06,45370.00,-0.23
2014-01-07,44526.00,-1.86
2014-01-08,43869.00,-1.48
2014-01-09,44124.00,0.58
2014-01-10,44824.00,1.59
2014-01-13,45118.00,0.66
2014-01-14,44941.00,-0.39
2014-01-15,44785.00,-0.35
2014-01-16,44545.00,-0.54
2014-01-17,45136.00,1.33
2014-01-20,45024.00,-0.25
2014-01-21,44480.00,-1.21
2014-01-22,44338.00,-0.32
2014-01-23,44910.00,1.29
2014-01-24,44691.00,-0.49
2014-01-27,45214.00,1.17
2014-01-28,44169.00,-2.31
2014-01-29,44405.00,0.53
2014-01-30,43220.00,-2.67
2014-01-31,43309.00,0.21
2014-02-03,43858.00,1.27
2014-02-04,43557.00,-0.69
2014-02-05,44392.00,1.92
2014-02-06,44413.00,0.05
2014-02-07,44369.00,-0.10
2014-02-10,44670.00,0.68
2014-02-11,44700.00,0.07
2014-02-12,44839.00,0.31
2014-02-13,44922.00,0.19
2014-02-14,46613.00,3.76
2014-02-17,47735.00,2.41
2014-02-18,48023.00,0.60
2014-02-19,47787.00,-0.49
2014-02-20,47486.00,-0.63
2014-02-21,47467.00,-0.04
2014-02-24,47985.00,1.09
2014-02-25,47817.00,-0.35
2014-02-26,46642.00,-2.46
2014-02-27,46505.00,-0.29
2014-02-28,46362.00,-0.31
2014-03-03,47186.00,1.78
2014-03-04,46557.00,-1.33
2014-03-05,46583.00,0.06
2014-03-06,47194.00,1.31
2014-03-07,46205.00,-2.10
2014-03-10,45973.00,-0.50
2014-03-11,45897.00,-0.17
2014-03-12,46771.00,1.90
2014-03-13,46734.00,-0.08
2014-03-14,47084.00,0.75
2014-03-17,46741.00,-0.73
2014-03-18,45840.00,-1.93
2014-03-19,45673.00,-0.36
2014-03-20,44992.00,-1.49
2014-03-21,44651.00,-0.76
2014-03-24,43949.00,-1.57
2014-03-25,43508.00,-1.00
2014-03-26,43046.00,-1.06
2014-03-27,42891.00,-0.36
2014-03-28,42759.00,-0.31
2014-03-31,42805.00,0.11
2014-04-01,42588.00,-0.51
2014-04-02,43135.00,1.28
2014-04-03,43021.00,-0.26
2014-04-04,42969.00,-0.12
2014-04-05,42951.00,-0.04
2014-04-07,43080.00,0.30
2014-04-08,43198.00,0.27
2014-04-09,42675.00,-1.21
2014-04-10,43486.00,1.90
2014-04-11,43177.00,-0.71
2014-04-14,43229.00,0.12
2014-04-15,42289.00,-2.17
2014-04-16,42416.00,0.30
2014-04-17,42377.00,-0.09
2014-04-21,42027.00,-0.83
2014-04-22,42236.00,0.50
2014-04-23,42482.00,0.58
2014-04-25,42607.00,0.29
2014-04-27,42577.00,-0.07
2014-04-28,42468.00,-0.26
2014-04-29,41962.00,-1.19
2014-04-30,41329.00,-1.51
2014-05-01,40906.00,-1.02
2014-05-02,42083.00,2.88
2014-05-05,41961.00,-0.29
2014-05-06,42571.00,1.45
2014-05-07,41928.00,-1.51
2014-05-08,41587.00,-0.81
2014-05-09,41453.00,-0.32
2014-05-12,42086.00,1.53
2014-05-13,41884.00,-0.48
2014-05-14,42348.00,1.11
2014-05-15,41717.00,-1.49
2014-05-16,40894.00,-1.97
2014-05-19,40866.00,-0.07
2014-05-20,41030.00,0.40
2014-05-21,40896.00,-0.33
2014-05-22,40976.00,0.20
2014-05-23,40797.00,-0.44
2014-05-26,41183.00,0.95
2014-05-27,40365.00,-1.99
2014-05-28,40202.00,-0.40
2014-05-29,40019.00,-0.46
2014-05-30,39586.00,-1.08
2014-06-02,39626.00,0.10
2014-06-03,39773.00,0.37
2014-06-04,39827.00,0.14
2014-06-05,40282.00,1.14
2014-06-06,39997.00,-0.71
2014-06-09,40297.00,0.75
2014-06-10,40506.00,0.52
2014-06-11,40606.00,0.25
2014-06-12,41251.00,1.59
2014-06-13,41875.00,1.51
2014-06-16,42204.00,0.79
2014-06-17,42374.00,0.40
2014-06-18,42398.00,0.06
2014-06-19,44311.00,4.51
2014-06-20,44570.00,0.58
2014-06-23,44445.00,-0.28
2014-06-24,44494.00,0.11
2014-06-25,44653.00,0.36
2014-06-26,44636.00,-0.04
2014-06-27,44529.00,-0.24
2014-06-30,44114.00,-0.93
2014-07-01,44298.00,0.42
2014-07-02,44715.00,0.94
2014-07-03,44291.00,-0.95
2014-07-04,44627.00,0.76
2014-07-06,45056.00,0.96
2014-07-07,44780.00,-0.61
2014-07-08,44823.00,0.10
2014-07-09,44787.00,-0.08
2014-07-10,46242.00,3.25
2014-07-11,46068.00,-0.38
2014-07-12,46015.00,-0.12
2014-07-13,46015.00,0.00
2014-07-14,44912.00,-2.40
2014-07-15,44854.00,-0.13
2014-07-16,44577.00,-0.62
2014-07-17,45579.00,2.25
2014-07-18,44931.00,-1.42
2014-07-20,44895.00,-0.08
2014-07-21,45174.00,0.62
2014-07-22,45097.00,-0.17
2014-07-23,44928.00,-0.37
2014-07-24,43786.00,-2.54
2014-07-25,44281.00,1.13
2014-07-27,44280.00,0.00
2014-07-28,44172.00,-0.24
2014-07-29,44269.00,0.22
2014-07-30,44480.00,0.48
2014-07-31,44399.00,-0.18
2014-08-01,44427.00,0.06
2014-08-04,44121.00,-0.69
2014-08-05,43381.00,-1.68
2014-08-06,43920.00,1.24
2014-08-07,43814.00,-0.24
2014-08-08,43580.00,-0.53
2014-08-10,43570.00,-0.02
2014-08-11,43847.00,0.64
2014-08-12,43712.00,-0.31
2014-08-13,43317.00,-0.90
2014-08-14,43263.00,-0.12
2014-08-18,42667.00,-1.38
2014-08-19,42240.00,-1.00
2014-08-20,42341.00,0.24
2014-08-21,42080.00,-0.62
2014-08-22,41955.00,-0.30
2014-08-25,41921.00,-0.08
2014-08-26,41985.00,0.15
2014-08-27,41933.00,-0.12
2014-08-28,42405.00,1.13
2014-08-29,42255.00,-0.35
2014-09-01,42004.00,-0.59
2014-09-02,41617.00,-0.92
2014-09-03,41793.00,0.42
2014-09-04,41485.00,-0.74
2014-09-05,41315.00,-0.41
2014-09-08,41804.00,1.18
2014-09-09,41951.00,0.35
2014-09-10,41956.00,0.01
2014-09-11,41270.00,-1.64
2014-09-12,41309.00,0.09
2014-09-13,41325.00,0.04
2014-09-15,41400.00,0.18
2014-09-16,41479.00,0.19
2014-09-17,41374.00,-0.25
2014-09-18,40934.00,-1.06
2014-09-19,39626.00,-3.20
2014-09-22,39573.00,-0.13
2014-09-23,39511.00,-0.16
2014-09-24,39265.00,-0.62
2014-09-25,39230.00,-0.09
2014-09-26,39169.00,-0.16
2014-09-27,39172.00,0.01
2014-09-29,39354.00,0.46
2014-09-30,38516.00,-2.13
2014-10-01,38702.00,0.48
2014-10-03,37888.00,-2.10
2014-10-05,37845.00,-0.11
2014-10-06,38488.00,1.70
2014-10-07,38363.00,-0.32
2014-10-08,38217.00,-0.38
2014-10-09,38615.00,1.04
2014-10-10,38512.00,-0.27
2014-10-13,38336.00,-0.46
2014-10-14,38767.00,1.12
2014-10-16,38872.00,0.27
2014-10-17,38399.00,-1.22
2014-10-20,38533.00,0.35
2014-10-21,38767.00,0.61
2014-10-22,38209.00,-1.44
2014-10-23,38016.00,-0.51
2014-10-24,38074.00,0.15
2014-10-27,38145.00,0.19
2014-10-28,38129.00,-0.04
2014-10-29,38273.00,0.38
2014-10-30,36574.00,-4.44
2014-10-31,35797.00,-2.12
2014-11-03,35942.00,0.41
2014-11-04,35495.00,-1.24
2014-11-05,34412.00,-3.05
2014-11-06,34271.00,-0.41
2014-11-07,34796.00,1.53
2014-11-10,34745.00,-0.15
2014-11-11,34805.00,0.17
2014-11-12,34695.00,-0.32
2014-11-13,34707.00,0.03
2014-11-14,36032.00,3.82
2014-11-16,36150.00,0.33
2014-11-17,35629.00,-1.44
2014-11-18,35804.00,0.49
2014-11-19,36372.00,1.59
