,Date,Price,%Chg
0,2014-01-31,44632.166666666664,nan
1,2014-02-28,46007.1,3.08
2,2014-03-31,45382.80952380953,-1.36
3,2014-04-30,42649.045454545456,-6.02
4,2014-05-31,41242.63636363636,-3.30
5,2014-06-30,42227.04761904762,2.39
6,2014-07-31,44868.96428571428,6.26
7,2014-08-31,42987.333333333336,-4.19
8,2014-09-30,40684.666666666664,-5.36
9,2014-10-31,38160.045454545456,-6.21
10,2014-11-30,35501.28571428572,-6.97
11,2014-12-31,37024.90909090909,4.29
12,2015-01-31,38304.913043478264,3.46
13,2015-02-28,37078.954545454544,-3.20
14,2015-03-31,36550.34782608696,-1.43
15,2015-04-30,36783.23809523809,0.64
16,2015-05-31,38561.28571428572,4.83
17,2015-06-30,36790.545454545456,-4.59
18,2015-07-31,34644.34782608696,-5.83
19,2015-08-31,34820.04761904762,0.51
20,2015-09-30,35279.09090909091,1.32
21,2015-10-31,36959.0,4.76
22,2015-11-30,34271.857142857145,-7.27
23,2015-12-31,33895.63636363636,-1.10
24,2016-01-31,34148.7,0.75
25,2016-02-29,36758.90476190476,7.64
26,2016-03-31,37043.5,0.77
27,2016-04-30,38562.619047619046,4.10
28,2016-05-31,40282.5,4.46
29,2016-06-30,41056.27272727273,1.92
30,2016-07-31,47019.857142857145,14.53
31,2016-08-31,45751.09090909091,-2.70
32,2016-09-30,46095.72727272727,0.75
33,2016-10-31,42278.09090909091,-8.28
34,2016-11-30,41791.40909090909,-1.15
35,2016-12-31,40043.681818181816,-4.18
36,2017-01-31,41027.142857142855,2.46
37,2017-02-28,42603.85,3.84
38,2017-03-31,41497.30434782609,-2.60
39,2017-04-30,41521.0,0.06
40,2017-05-31,38945.434782608696,-6.20
41,2017-06-30,39063.36363636364,0.30
42,2017-07-31,37515.0,-3.96
43,2017-08-31,38814.681818181816,3.46
44,2017-09-30,40472.76190476191,4.27
45,2017-10-31,39692.80952380953,-1.93
46,2017-11-30,39376.72727272727,-0.80
47,2017-12-31,37585.45,-4.55
48,2018-01-31,39186.63636363636,4.26
49,2018-02-28,38412.85,-1.97
50,2018-03-31,38597.76190476191,0.48
51,2018-04-30,39127.71428571428,1.37
52,2018-05-31,39934.65217391304,2.06
53,2018-06-30,39982.23809523809,0.12
54,2018-07-31,38844.681818181816,-2.85
55,2018-08-31,37371.63636363636,-3.79
56,2018-09-30,37361.5,-0.03
57,2018-10-31,38742.22727272727,3.70
58,2018-11-30,36889.86363636364,-4.78
59,2018-12-31,37805.15,2.48
60,2019-01-31,39442.86956521739,4.33
61,2019-02-28,40052.2,1.54
62,2019-03-31,38181.90476190476,-4.67
63,2019-04-30,37402.15,-2.04
64,2019-05-31,36809.260869565216,-1.59
65,2019-06-30,37297.1,1.33
66,2019-07-31,39427.86956521739,5.71
67,2019-08-31,43934.47619047619,11.43
68,2019-09-30,47264.380952380954,7.58
69,2019-10-31,45672.30434782609,-3.37
70,2019-11-30,44701.80952380953,-2.12
71,2019-12-31,44881.80952380953,0.40
72,2020-01-31,46695.0,4.04
73,2020-02-29,46520.42857142857,-0.37
74,2020-03-31,41378.90909090909,-11.05
75,2020-04-30,42363.27777777778,2.38
76,2020-05-31,45519.857142857145,7.45
77,2020-06-30,48408.40909090909,6.35
78,2020-07-31,55729.30434782609,15.12
79,2020-08-31,68659.66666666667,23.20
80,2020-09-30,65037.545454545456,-5.28
81,2020-10-31,61676.52380952381,-5.17
82,2020-11-30,61968.454545454544,0.47
83,2020-12-31,65713.40909090909,6.04
84,2021-01-31,67216.25,2.29
85,2021-02-28,69186.7,2.93
86,2021-03-31,66107.34782608696,-4.45
87,2021-04-30,67668.23809523809,2.36
88,2021-05-31,71425.28571428571,5.55
89,2021-06-30,69934.0,-2.09
90,2021-07-31,68206.0,-2.47
91,2021-08-31,63794.818181818184,-6.47
92,2021-09-30,62014.181818181816,-2.79
93,2021-10-31,63302.09523809524,2.08
94,2021-11-30,64432.40909090909,1.79
95,2021-12-31,61645.086956521736,-4.33
96,2022-01-31,62293.85,1.05
97,2022-02-28,63178.25,1.42
98,2022-03-31,68426.47826086957,8.31
99,2022-04-30,66846.5,-2.31
100,2022-05-31,61388.681818181816,-8.16
101,2022-06-30,60784.454545454544,-0.98
102,2022-07-31,56448.19047619047,-7.13
103,2022-08-31,56606.40909090909,0.28
104,2022-09-30,55593.59090909091,-1.79
105,2022-10-31,58254.333333333336,4.79
106,2022-11-30,61066.22727272727,4.83
107,2022-12-31,67845.13636363637,11.10
108,2023-01-31,68779.95238095238,1.38
109,2023-02-28,66236.3,-3.70
110,2023-03-31,67064.04347826086,1.25
111,2023-04-30,74763.1052631579,11.48
112,2023-05-31,73534.56521739131,-1.64
113,2023-06-30,71066.86363636363,-3.36
114,2023-07-31,73542.80952380953,3.48
115,2023-08-31,72049.40909090909,-2.03
116,2023-09-30,72046.09523809524,-0.00
117,2023-10-31,70459.95238095238,-2.20
118,2023-11-30,72520.78260869565,2.92
119,2023-12-31,74465.65,2.68
120,2024-01-31,72165.90909090909,-3.09
121,2024-02-29,70536.0,-2.26
122,2024-03-31,74305.25,5.34
123,2024-04-30,81188.09090909091,9.26
124,2024-05-31,88224.39130434782,8.67
125,2024-06-30,89326.95,1.25
126,2024-07-31,88797.56521739131,-0.59
127,2024-08-31,82745.90476190476,-6.82
128,2024-09-30,86187,2
129,2024-10-31,93352,8.42
130,2024-11-30,90230,-4.12
131,2024-12-31,89265,-1.45
132,2025-01-31,90020,1.48
133,2025-02-28,95524,6.82
134,2025-03-31,97868,2.95
135,2025-04-30,95309,-4.13
136,2025-05-31,96026,1.37
137,2025-06-30,107700,10.81
